                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.59106,                0.82911,                0.98354,                0.21025,                0.55741,                 0.2293,                0.15688,                 1.6181,                 3.6589,                  1.934,             0.00020625,             0.00020625,             0.00020625
                     78,                0.57513,                 0.7958,                0.97961,                0.19794,                0.51997,                0.21437,                0.15167,                 1.6445,                 3.9014,                 1.9466,               0.000198,               0.000198,               0.000198
                     79,                 0.5782,                0.80463,                0.97613,                0.22306,                0.61223,                0.23842,                0.16324,                 1.6437,                 3.5477,                 1.9572,             0.00018976,             0.00018976,             0.00018976
                     80,                0.56368,                  0.794,                 0.9725,                0.20405,                0.52558,                0.21715,                0.15224,                 1.6329,                 3.8684,                 1.8879,             0.00018151,             0.00018151,             0.00018151
                     81,                0.54692,                0.78765,                0.97181,                0.20499,                0.48581,                0.21364,                0.14944,                 1.6187,                 3.9939,                 1.9055,             0.00017326,             0.00017326,             0.00017326
                     82,                0.54292,                0.80481,                0.96116,                0.22316,                0.54455,                0.23114,                0.15763,                 1.6229,                  3.781,                 1.9027,             0.00016502,             0.00016502,             0.00016502
                     83,                0.54158,                0.77766,                0.96743,                0.22989,                0.53853,                  0.227,                0.15476,                 1.6329,                 3.7801,                 1.9217,             0.00015677,             0.00015677,             0.00015677
                     84,                0.53021,                0.78925,                0.95845,                0.22499,                0.61548,                0.25041,                0.17139,                 1.5879,                 3.4832,                 1.8796,             0.00014852,             0.00014852,             0.00014852
                     85,                0.53863,                0.78161,                0.96347,                0.26717,                0.44784,                0.23928,                0.16697,                 1.6028,                 3.5777,                 1.9143,             0.00014028,             0.00014028,             0.00014028
                     86,                0.51952,                 0.7305,                0.94816,                0.23272,                0.54425,                0.23609,                0.16516,                  1.617,                 3.7319,                  1.912,             0.00013203,             0.00013203,             0.00013203
                     87,                0.52579,                0.78172,                0.95984,                0.23355,                0.48564,                0.21934,                0.15326,                 1.6191,                 3.9495,                 1.8857,             0.00012378,             0.00012378,             0.00012378
                     88,                0.50333,                0.74936,                0.94403,                 0.2429,                0.51391,                0.22592,                0.16019,                 1.6228,                 3.9501,                 1.9154,             0.00011554,             0.00011554,             0.00011554
                     89,                0.51151,                0.76083,                0.95993,                0.23001,                0.51751,                0.22247,                0.15591,                 1.6287,                 3.9469,                 1.9259,             0.00010729,             0.00010729,             0.00010729
                     90,                0.49863,                0.75049,                0.93649,                0.22554,                0.51522,                0.22148,                0.15695,                 1.6334,                 3.8509,                 1.9493,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.48766,                0.71905,                0.94758,                0.20106,                0.53892,                0.21182,                0.14652,                 1.6259,                 3.7289,                 1.9436,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.43557,                0.67039,                0.90603,                0.24885,                0.35102,                 0.2133,                 0.1523,                 1.6447,                 3.5889,                 1.9812,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.42464,                0.65989,                0.89144,                0.20631,                0.56292,                0.22629,                0.16109,                 1.6166,                 3.6576,                 1.9619,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.41026,                0.65173,                 0.8974,                0.22761,                0.52855,                0.22571,                0.16287,                 1.6156,                 3.7868,                 1.9474,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.39657,                0.65061,                 0.8912,                0.21762,                0.50283,                0.21903,                0.15919,                 1.6099,                 3.9106,                 1.9511,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.39074,                0.65016,                0.88325,                0.22696,                0.51802,                0.22556,                0.16095,                 1.6153,                 3.8887,                 1.9622,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.37989,                0.63717,                0.87924,                0.22484,                0.51347,                0.22303,                0.15935,                 1.6206,                 3.9164,                 1.9602,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.37361,                0.62728,                0.87072,                0.23161,                0.50615,                 0.2232,                0.16042,                 1.6151,                 3.9409,                 1.9622,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.37086,                0.62451,                0.87971,                0.23247,                0.50072,                0.22197,                0.15849,                 1.6148,                 3.9997,                 1.9543,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.37057,                0.64593,                0.88052,                0.23796,                0.50615,                0.22304,                0.16016,                 1.6165,                 4.0319,                 1.9568,             1.6577e-05,             1.6577e-05,             1.6577e-05
